B2.1.4  Total Provincial Operating Funding,B2.1.1  Public Library Operating Grant (PLOG),B5.0  Total Operating Expenditures,B4.02.1  Total funds (not including employee benefits),"B4.04  Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)","B4.01.2  Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)",P2.2  Resident Households Served,C0.2.T  Total Print Volumes Held,D1.1.1.C  Librarians,"G1.1.2.W  All circulation for E-books, downloadable audio books, music and video ","E7.1  In the space provided, please provide the total, combined square footage of all the facilities in your library system",Actual incidents
"11,434","11,434","23,830",0,"5,338","1,130","2,762","12,853",0,22,"3,534",
"13,821","13,821","30,815",0,0,0,"4,103",0,0,0,0,
"5,518","5,518","41,276","16,243","5,000","2,027","1,408","7,383",0,56,"1,394",
"154,654","83,286","6,234,295","3,030,670","423,564","470,617","38,400","173,309",7,"15,953","48,000",
"1,500","1,500","4,203",0,0,0,373,0,0,0,0,
"14,329","1,329","35,450","16,568","1,734","1,174",0,"5,939",0,0,500,
"15,665","13,936","319,397","232,531","38,588","2,831","4,218","58,656",0,56,"5,595",
"15,388","2,388","24,297","21,204",375,0,0,0,0,0,118,
"16,751","13,478","279,122","155,714","31,994","6,934","3,434","18,615",0,152,"16,712",
"5,105","5,105","89,684",0,0,0,"1,441",0,0,0,0,
"15,072","15,072","38,289",0,0,0,"3,338",0,0,0,0,
"2,817","2,817","59,257","41,033","9,097",0,507,"9,705",0,0,"2,322",
"14,263","13,439","607,451","317,286","61,200","7,679","4,244","55,975",0,503,"13,500",..
"14,263","13,439","607,451","317,286","61,200","7,679","4,244","55,975",0,503,"13,500",426
"14,263","13,439","607,451","317,286","61,200","7,679","4,244","55,975",0,503,"13,500",..
"8,593","7,218","175,256","84,797","16,918","2,308","1,857","15,662",0,103,"3,822",
"3,483","3,456","48,699","29,379","1,368","1,491",420,"11,610",0,31,"1,200",
"6,830","5,416","55,206","31,720","7,358","1,259","1,336","8,585",0,47,"3,458",
"14,002","1,002","313,700",0,"306,000",0,0,20,0,0,0,
"10,452","9,991","279,384","153,717","34,809","4,339","1,373","27,553",1,144,"5,151",..
"13,297","12,591","143,039","79,419","21,494","1,939","3,130","19,927",0,161,"4,422","2,055"
"13,873",873,"31,121","13,873","13,742",142,0,"1,136",1,3,0,
"45,422","44,138","3,690,355","2,094,339",0,"220,997","21,100","131,319",6,"2,688","44,000",
"3,264","3,264","3,264",0,0,0,0,0,0,0,0,
"1,694","1,694","1,694",0,0,0,277,0,0,0,0,
"8,867","8,514","191,559","146,916","11,365","2,272","1,944","17,034",0,78,"2,500",414
"271,808","107,501","8,461,466","4,023,541","984,387","598,764","54,661","166,516",13,"5,923","56,200","7,434"
